Original File name,Location,Suppliers Reference,Title,Description,Year,Creator,Keywords,caption,image_id,IMAGE LINK
2005-001-151-21.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/21,"Mount Langton, Bermuda",Showing house set among trees. Numbered 10 in a series. Caption reads: 'Mount Langton',c.1860,,Bermuda,"Mount Langton, Bermuda",189019,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189019&width=300&format=jpeg
2005-001-151-22.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/22,Mango tree,Showing tree in fruit with seat and two figures. Caption reads: 'Mango Tree',c.1860,,Caribbean,Mango tree,189020,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189020&width=300&format=jpeg
2005-001-151-23.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/23,"Plant-lined pool, reflecting houses","Plant-lined pool, reflecting houses. Set among hills and trees. No caption.",c.1860,,Caribbean,"Plant-lined pool, reflecting houses",189021,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189021&width=300&format=jpeg
2005-001-151-24.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/24,Large white house set in formal gardens,Large white house set in formal gardens. No caption.,c.1860,,Caribbean,Large white house set in formal gardens,189022,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189022&width=300&format=jpeg
2005-001-151-25.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/25,Travellers palm tree,Large fan-shaped tree with woman standing beside it. Caption reads: 'Travellers Palm',c.1860,,Caribbean,Travellers palm tree,189023,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189023&width=300&format=jpeg
2005-001-151-26.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/26,Two thatched huts set among trees,Two thatched huts set among trees. Caption reads: 'Negro Hut',c.1860,,Caribbean,Two thatched huts set among trees,189024,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189024&width=300&format=jpeg
2005-001-151-27.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/27,Women and children posed outside thatched hut,"Women and children posed outside thatched hut, showing servants in their domestic setting. Caption reads: 'House Women'",c.1860,,Caribbean,Women and children posed outside thatched hut,189025,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189025&width=300&format=jpeg
2005-001-151-28.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/28,Posed studio shot of local woman,Posed studio shot of local woman with painted backdrop. No caption.,c.1860,,Caribbean,Posed studio shot of local woman,189026,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189026&width=300&format=jpeg
2005-001-151-29.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/29,Two people seated beneath banyan tree,Two people seated beneath banyan tree. Caption reads: 'Banyan tree',c.1860,,Caribbean,Two people seated beneath banyan tree,189027,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189027&width=300&format=jpeg
2005-001-151-30.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/30,Travellers palm tree,Close-up of tree in garden. Caption reads: 'Travellers Tree',c.1860,,Caribbean,Travellers palm tree,189028,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189028&width=300&format=jpeg
2005-001-151-31.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/31,View of Cedar Avenue with house and gas lamp,View of Cedar Avenue with house and gas lamp. Numbered 29 in  a series. Possibly in Bermuda. Caption reads: 'Cedar Avenue',c.1860,,Bermuda,View of Cedar Avenue with house and gas lamp,189029,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189029&width=300&format=jpeg
2005-001-151-32.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/32,"Kingston Harbour, Jamaica",Showing Kingston from the sea. Caption reads: 'Kingston Harbour',c.1860,,Jamaica,"Kingston Harbour, Jamaica",189030,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189030&width=300&format=jpeg
2005-001-151-33.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/33,Palm trees,Group of palm trees. Caption reads: 'Palms',c.1860,,Caribbean,Palm trees,189031,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189031&width=300&format=jpeg
2005-001-151-34.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/151/34,Palm trees,Palm trees line a road. Caption reads: 'Palms',c.1860,,Caribbean,Palm trees,189032,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189032&width=300&format=jpeg
2005-001-152-01.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/1,"View of Port Royal hospital across water, Jamaica","View of Port Royal hospital across water, Jamaica. Includes sailing ships. Caption reads: 'Port Royal Hosptial'",1862,,Jamaica,"View of Port Royal hospital across water, Jamaica",189033,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189033&width=300&format=jpeg
2005-001-152-02.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/2,"View near the Point, Port Royal, Jamaica","Showing palm trees,a sailing ship and three figures. Caption reads: 'View near the Point'",1862,,Jamaica,"View near the Point, Port Royal, Jamaica",189034,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189034&width=300&format=jpeg
2005-001-152-03.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/3,"View of the sea from the Dock, Port Royal, Jamaica",View of the sea and four sailing ships. Caption reads: 'View from the Dock and Port Royal',1862,,Jamaica,"View of the sea from the Dock, Port Royal, Jamaica",189035,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189035&width=300&format=jpeg
2005-001-152-04.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/4,HMS Serapis,"Showing ship's crew with three ladies in front row, on the deck in bright sunshine. Caption reads: 'HMS Serapis'",1862,,Jamaica,HMS Serapis,189036,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189036&width=300&format=jpeg
2005-001-152-05.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/5,"Prince of Wales Line, Port Royal, Jamaica","Showing sailors standing by their guns and surrounding palm trees. Caption reads: 'Prince of Wales Lines, Port Royal'",1862,,Jamaica,"Prince of Wales Line, Port Royal, Jamaica",189037,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189037&width=300&format=jpeg
2005-001-152-06.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/6,"Garrison hospital, Port Royal, Jamaica","View of grounds and side view of hospital with standing figure. Caption reads: 'Garrison hospital, Port Royal'",1862,,Jamaica,"Garrison hospital, Port Royal, Jamaica",189038,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189038&width=300&format=jpeg
2005-001-152-07.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/7,"Kingston, Jamaica","General view of street in Kingston. Caption reads: 'Kingston, Jamaica'",1862,,Jamaica,"Kingston, Jamaica",189039,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189039&width=300&format=jpeg
2005-001-152-08.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/8,Brass band of the 4th Regiment at Park Camp,Members of brass band in front of bandstand at Park Camp. Caption reads: 'Band of the 4th Regiment',1862,,Jamaica,Brass band of the 4th Regiment at Park Camp,189040,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189040&width=300&format=jpeg
2005-001-152-09.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/9,"Newcastle, Jamaica","View of Newcastle among hills. Caption reads: 'Newcastle, Jamaica'",1862,,Jamaica,"Newcastle, Jamaica",189041,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189041&width=300&format=jpeg
2005-001-152-10.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/10,"Monument to William Stapleton in Port Royal church, Jamaica",Photograph showing wall plaque commemorating William Stapleton. Caption reads: 'Monument in Port Royal church',1862,,Jamaica,"Monument to William Stapleton in Port Royal church, Jamaica",189042,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189042&width=300&format=jpeg
2005-001-152-11.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/11,Commodore's house,View of house with two figures and palm trees. Caption reads: 'Commodore's house',1862,,Jamaica,Commodore's house,189043,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189043&width=300&format=jpeg
2005-001-152-12.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/12,"Group of men at Port Royal, Jamaica","Group of men in civilian clothes. Names are given: Lt Clarkson, Lt Jones, Asst Sup O'Donovan, Asst Sup Goodman, Asst Sup Barry, J Banks, Asst Sup Donovan. 
Caption reads: 'Port Royal Jamaica'",1862,,Jamaica,"Group of men at Port Royal, Jamaica",189044,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189044&width=300&format=jpeg
2005-001-152-13.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/13,"Group of men at Port Royal, Jamaica","Group of men. Names given include: [T Alley?], Dr Barry, Dr Donovan, J Banks.",1862,,Jamaica,"Group of men at Port Royal, Jamaica",189045,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189045&width=300&format=jpeg
2005-001-152-14.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/14,"Coal wharf and port, Port Royal, Jamaica","View of wharf buildings taken from above. Caption reads: 'Coal wharf and port, Port Royal'",1862,,Jamaica,"Coal wharf and port, Port Royal, Jamaica",189046,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189046&width=300&format=jpeg
2005-001-152-15.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/15,"View of dockyard and Port Royal, Jamaica","Showing figures in front of building. 
Caption reads: 'View of dockyard and Port Royal'",1862,,Jamaica,"View of dockyard and Port Royal, Jamaica",189047,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189047&width=300&format=jpeg
2005-001-152-16.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/16,"View in the dockyard and Port Royal, Jamaica",Showing soldiers at attention. Caption reads: 'View in the dockyard and Port Royal',1862,,Jamaica,"View in the dockyard and Port Royal, Jamaica",189048,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189048&width=300&format=jpeg
2005-001-152-17.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/17,"View from Long Mountain, Jamaica","View over land and out to sea. Caption reads: 'View from Long Mountain, Jamaica'",1862,,Jamaica,"View from Long Mountain, Jamaica",189049,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189049&width=300&format=jpeg
2005-001-152-18.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/18,Group of men in civilian clothes pose by cannon,"Men in civilian clothes pose by cannon. Names are given: Lt Hall, Lt Little, Dr O'Donovan, Col Dixon, Major Davis, Lt Nash, Lt Davies.",1862,,Jamaica,Group of men in civilian clothes pose by cannon,189050,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189050&width=300&format=jpeg
2005-001-152-19.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/19,Group of men in civilian clothes pose against a wall,"Group of men in civilian clothes pose against a wall. Names are given: Lt Hall, Lt Little, Lt Nash, Lt Davies, Lt Jones, Major Davis, [Dr?] Barry. Also dogs Toby and Vixen.",1862,,Jamaica,Group of men in civilian clothes pose against a wall,189051,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189051&width=300&format=jpeg
2005-001-152-20.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/20,"View of hospital, Port Royal, Jamaica","Showing figures and trees in hospital grounds. Caption reads: 'View in hospital, Port Royal, Jamaica'",1862,,Jamaica,"View of hospital, Port Royal, Jamaica",189052,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189052&width=300&format=jpeg
2005-001-152-21.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/21,"View of hospital, Port Royal, Jamaica","Showing figures in hospital grounds in front of building. Caption reads: 'View in hospital, Port Royal, Jamaica'",1862,,Jamaica,"View of hospital, Port Royal, Jamaica",189053,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189053&width=300&format=jpeg
2005-001-152-22.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/22,"Government Quarters. Port Royal Hospital, Port Royal, Jamaica","Showing people, house and a boat. Caption reads: 'Deputy Inspector. Government Quarters P.R Hospital, Port Royal Jamaica'",1862,,Jamaica,"Government Quarters. Port Royal Hospital, Port Royal, Jamaica",189054,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189054&width=300&format=jpeg
2005-001-152-23.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/23,"HMS Jason, Port Royal, Jamaica","View of ship at sea. Caption reads: 'HMS Jason, Port Royal, Jamaica'",1862,,Jamaica,"HMS Jason, Port Royal, Jamaica",189055,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189055&width=300&format=jpeg
2005-001-152-24.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/24,"Park Camp, Jamaica","View of the camp set in its grounds. Caption reads: 'Park Camp, Jamaica'",1862,,Jamaica,"Park Camp, Jamaica",189056,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189056&width=300&format=jpeg
2005-001-152-25.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/25,"Officers' quarters, Port Royal, Jamaica","Showing people in front of houses. Caption reads: 'Officers' quarters, Port Royal, Jamaica'",1862,,Jamaica,"Officers' quarters, Port Royal, Jamaica",189057,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189057&width=300&format=jpeg
2005-001-152-26.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/26,"Men's barracks, Port Royal, Jamaica","Showing several men outside the barracks. Caption reads: 'Men's barracks, Port Royal, Jamaica'",1862,,Jamaica,"Men's barracks, Port Royal, Jamaica",189058,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189058&width=300&format=jpeg
2005-001-152-27.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/27,"Officers' Billiard Room, Port Royal, Jamaica","Caption reads: 'Officers' Billiard Room, Port Royal, Jamaica'",1862,,Jamaica,"Officers' Billiard Room, Port Royal, Jamaica",189059,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189059&width=300&format=jpeg
2005-001-152-28.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/28,"Officers' Baths, Port Royal, Jamaica","Showing bathing pool, buildings and two figures. Caption reads: 'Officers' Baths, Port Royal, Jamaica'",1862,,Jamaica,"Officers' Baths, Port Royal, Jamaica",189060,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189060&width=300&format=jpeg
2005-001-152-29.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/29,"Entrance to Fort Charles, Port Royal, Jamaica","Caption reads: 'Entrance to Fort Charles, Port Royal, Jamaica'",1862,,Jamaica,"Entrance to Fort Charles, Port Royal, Jamaica",189061,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189061&width=300&format=jpeg
2005-001-152-30.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/30,"Parish church, Port Royal, Jamaica","Showing four figures in front of church. Caption reads: 'Parish church, Port Royal'",1862,,Jamaica,"Parish church, Port Royal, Jamaica",189062,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189062&width=300&format=jpeg
2005-001-152-31.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/31,Group of men in civilian clothes in front of buildings,"Group of men in civilian clothes in front of buildings. Names are given: Lt Jones, Dr Donovan, [Mr Banks?], Dr Browne, Dr Barry.",1862,,Jamaica,Group of men in civilian clothes in front of buildings,189063,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189063&width=300&format=jpeg
2005-001-152-32.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/32,"HMS Aboukir, Port Royal, Jamaica","Showing ship at sea. Caption reads: 'HMS Aboukir, Port Royal, Jamaica'",1862,,Jamaica,"HMS Aboukir, Port Royal, Jamaica",189064,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189064&width=300&format=jpeg
2005-001-152-33.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/33,"View of street in Port Royal, Jamaica",Showing unmade minor road with buildings. Caption reads: 'View of a street in Port Royal',1862,,Jamaica,"View of street in Port Royal, Jamaica",189065,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189065&width=300&format=jpeg
2005-001-152-34.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/34,"Port of Port Royal, Jamaica","Showing buildings, palm trees and ships. Caption reads: 'Port of Port Royal'",1862,,Jamaica,"Port of Port Royal, Jamaica",189066,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189066&width=300&format=jpeg
2005-001-152-35.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/35,"View of the dockyard, Port Royal, Jamaica","Showing dockyard and three figures, trees and houses. Caption reads: 'View in the dockyard, Port Royal'",1862,,Jamaica,"View of the dockyard, Port Royal, Jamaica",189067,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189067&width=300&format=jpeg
2005-001-152-36.tif,British Empire and Commonwealth Collections at Bristol Archives,2005/001/152/36,"Port Royal harbour, Jamaica","Harbour view with ships, buildings and hills in background. Caption reads: 'Port Royal harbour'",1862,,Jamaica,"Port Royal harbour, Jamaica",189068,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=189068&width=300&format=jpeg
5579.tif,British Empire and Commonwealth Collections at Bristol Archives,2003/001/001/51,Boats on the Ayeyarwady River,"Boats on the Ayeyarwady River
Several covered fishing boats are moored along a sandy bank of the Ayeyarwady River. Htagaing, Burma (Myanmar), circa 1891.
Caption reads: 'Htigaing  No.441'",c.1891,,Burma,Boats on the Ayeyarwady River,120937,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=120937&width=300&format=jpeg
6052.tif,British Empire and Commonwealth Collections at Bristol Archives,2003/001/001/10,The Kyaing-Kwintaung stockade following its capture,"After the capture of Kyaing-Kwintaung
General Wolseley and soldiers of the Second Devonshire Regiment stand beneath the Kyaing-Kwintaung stockade following its capture. The stronghold was seized from the Saopha of Wuntho and his rebel supporters, who opposed British attempts to annex areas of Burma (Myanmar). Sagaing, Burma (Myanmar), 1891.
Caption reads: 'The Hill Stockade of Kyaing-Kwintaung (after capture). General Wolesley & Coy. Of 2nd Devon Regt. In the foreground. No. 407.'",c.1891,,Burma,The Kyaing-Kwintaung stockade following its capture,121475,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=121475&width=300&format=jpeg
5555.tif,British Empire and Commonwealth Collections at Bristol Archives,2003/001/001/27,An empty road in Wuntho,"An empty road in Wuntho
Two street-sellers sit in the shade of a thatched awning, waiting to offer their wares to passers-by at the side of an empty road. This scene was captured shortly after British forces took control of Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: 'Street view in Wuntho. No.419'",c.1891,,Burma,An empty road in Wuntho,121365,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=121365&width=300&format=jpeg
5552.tif,British Empire and Commonwealth Collections at Bristol Archives,2003/001/001/24,The Royal Artillery at Wuntho,"The Royal Artillery at Wuntho
British and Indian soldiers in the Second Mountain Battery of the Royal Artillery pose with two artillery guns in front of Wuntho Palace. The group are pictured shortly after British forces captured Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: '2nd. Mountain Battery R.A. at Wuntho. No.415'",c.1891,,Burma,The Royal Artillery at Wuntho,114615,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=114615&width=300&format=jpeg
5539.tif,British Empire and Commonwealth Collections at Bristol Archives,2003/001/001/9,"The Second Devonshire Regiment of the British Army, led by Captain Davies","The Second Devonshire Regiment of the British Army, led by Captain Davies, poses for a group portrait in front of Wuntho Palace and the town's 'Pon-gyi kyaunga' (Buddhist monastery). The group are pictured shortly after British forces captured Wuntho following a conflict with Burmese rebels. Wuntho, Burma (Myanmar), 1891.
Caption reads: 'The Company Devon Regiment (Halting). 406'",c.1891,,Burma,"The Second Devonshire Regiment of the British Army, led by Captain Davies",114566,http://museums.bristol.gov.uk/multimedia/entry.php?request=resource&irn=114566&width=300&format=jpeg
